# plotfile = plt00400
# time = 1.386580665 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
8.2500000e+08 -9.0000000e+08 2.0002186e+04 1.8721637e-03 -3.3906460e-02 -1.9848298e+06
8.3437500e+08 -9.0000000e+08 2.0002121e+04 1.8934271e-03 -2.8900811e-02 -1.9568476e+06
8.4375000e+08 -9.0000000e+08 2.0002052e+04 1.9165016e-03 -2.4002262e-02 -1.9243548e+06
8.5312500e+08 -9.0000000e+08 2.0001989e+04 1.9385760e-03 -1.9292113e-02 -1.8953804e+06
8.6250000e+08 -9.0000000e+08 2.0001978e+04 1.9601329e-03 -1.4737182e-02 -1.8661076e+06
8.7187500e+08 -9.0000000e+08 2.0001999e+04 1.9860097e-03 -1.0313938e-02 -1.8355644e+06
8.8125000e+08 -9.0000000e+08 2.0002340e+04 2.0011171e-03 -6.0144878e-03 -1.8094659e+06
8.9062500e+08 -9.0000000e+08 2.0002776e+04 2.0039864e-03 -2.0038418e-03 -1.7786869e+06
-9.0000000e+08 -8.9062500e+08 2.0002295e+04 -5.6561963e-03 -1.8852973e-03 -1.7765194e+06
-8.9062500e+08 -8.9062500e+08 2.0001860e+04 -5.6559957e-03 -5.6559441e-03 -1.8068901e+06
-8.8125000e+08 -8.9062500e+08 2.0001491e+04 -5.6307226e-03 -9.7262468e-03 -1.8341037e+06
-8.7187500e+08 -8.9062500e+08 2.0001432e+04 -5.5933862e-03 -1.3879968e-02 -1.8636007e+06
-8.6250000e+08 -8.9062500e+08 2.0001433e+04 -5.5705875e-03 -1.8184952e-02 -1.8944747e+06
-8.5312500e+08 -8.9062500e+08 2.0001461e+04 -5.5469782e-03 -2.2622519e-02 -1.9220143e+06
-8.4375000e+08 -8.9062500e+08 2.0001496e+04 -5.5285179e-03 -2.7239511e-02 -1.9565113e+06
-8.3437500e+08 -8.9062500e+08 2.0001529e+04 -5.5130892e-03 -3.1988079e-02 -1.9841376e+06
-8.2500000e+08 -8.9062500e+08 2.0001562e+04 -5.5020974e-03 -3.6938375e-02 -2.0199430e+06
-8.1562500e+08 -8.9062500e+08 2.0001597e+04 -5.5169504e-03 -4.2004935e-02 -2.0489240e+06
-8.0625000e+08 -8.9062500e+08 2.0001633e+04 -5.5148767e-03 -4.7375792e-02 -2.0844795e+06
-7.9687500e+08 -8.9062500e+08 2.0001671e+04 -5.4827833e-03 -5.2825766e-02 -2.1152136e+06
-7.8750000e+08 -8.9062500e+08 2.0001709e+04 -5.4806681e-03 -5.8482021e-02 -2.1512627e+06
-7.7812500e+08 -8.9062500e+08 2.0001749e+04 -5.5143581e-03 -6.4338279e-02 -2.1830164e+06
-7.6875000e+08 -8.9062500e+08 2.0001790e+04 -5.5233716e-03 -7.0534862e-02 -2.2206085e+06
-7.5937500e+08 -8.9062500e+08 2.0001832e+04 -5.5110755e-03 -7.6773216e-02 -2.2523244e+06
-7.5000000e+08 -8.9062500e+08 2.0001876e+04 -5.5215764e-03 -8.3375506e-02 -2.2917532e+06
-7.4062500e+08 -8.9062500e+08 2.0001920e+04 -5.5336568e-03 -9.0088972e-02 -2.3233337e+06
-7.3125000e+08 -8.9062500e+08 2.0001966e+04 -5.5452822e-03 -9.7228731e-02 -2.3645807e+06
-7.2187500e+08 -8.9062500e+08 2.0002014e+04 -5.5696495e-03 -1.0439484e-01 -2.3972692e+06
-7.1250000e+08 -8.9062500e+08 2.0002063e+04 -5.6290307e-03 -1.1200357e-01 -2.4377660e+06
-7.0312500e+08 -8.9062500e+08 2.0002113e+04 -5.6770567e-03 -1.1982286e-01 -2.4758186e+06
-6.9375000e+08 -8.9062500e+08 2.0002164e+04 -5.6583605e-03 -1.2790634e-01 -2.5122202e+06
-6.8437500e+08 -8.9062500e+08 2.0002217e+04 -5.6709139e-03 -1.3635020e-01 -2.5550249e+06
-6.7500000e+08 -8.9062500e+08 2.0002271e+04 -5.7212147e-03 -1.4487439e-01 -2.5904401e+06
-6.6562500e+08 -8.9062500e+08 2.0002327e+04 -5.7536802e-03 -1.5392295e-01 -2.6320556e+06
-6.5625000e+08 -8.9062500e+08 2.0002384e+04 -5.7761154e-03 -1.6326976e-01 -2.6748140e+06
-6.4687500e+08 -8.9062500e+08 2.0002443e+04 -5.8215236e-03 -1.7264362e-01 -2.7117557e+06
-6.3750000e+08 -8.9062500e+08 2.0002503e+04 -5.8302426e-03 -1.8269168e-01 -2.7549311e+06
-6.2812500e+08 -8.9062500e+08 2.0002564e+04 -5.7627227e-03 -1.9306529e-01 -2.7987199e+06
-6.1875000e+08 -8.9062500e+08 2.0002628e+04 -5.8311452e-03 -2.0335189e-01 -2.8374598e+06
-6.0937500e+08 -8.9062500e+08 2.0002692e+04 -5.9453745e-03 -2.1422896e-01 -2.8798016e+06
-6.0000000e+08 -8.9062500e+08 2.0002758e+04 -5.9342132e-03 -2.2562277e-01 -2.9265771e+06
-5.9062500e+08 -8.9062500e+08 2.0002826e+04 -5.9775311e-03 -2.3710337e-01 -2.9694143e+06
