# non-barotropic ceiling scan; floor=0.0203, barotropic ceiling=0.018, B_c=4.4140e+13
k0,alpha,rho_c,status,M_msun,M0_msun,mu_mean,mu_lo,mu_hi,over_floor,ledoux,mu_p01,mu_p99,f_bad,E_pol_over_W,E_mag_over_W,VE,tor_w,E_tor_over_W,bt_bp,f_core,rot_w,a_rot,T_over_W,shed,strict,beats_ceiling,B_over_Bc
1e-12,0.4,3000000000.0,gate,1.5214317673149997,1.386779267460252,1.949603675651411,1.5818673799858054,2.198571576413885,15.582406539766133,0.0045712448526004975,1.6936122989101305,2.201110944488487,0.08769042597145969,0.009042071261497147,0.014040640542413356,0.0003402958751449733,0.005,0.004998569280916209,0.38017038252729823,0.0641212655155551,0.06,0.5,0.05998283137099448,0.07405103710655427,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.06,1.0,,,,,
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.06,2.0,,,,,
1e-12,0.4,3000000000.0,gate,1.8136642657027418,1.386779267460252,1.8978273956606166,1.5795109915855112,2.9244837601106313,34.91087563336641,1.0108253456292602,1.5689872889506018,2.117836835892475,0.24894587109243538,0.006862226357525181,0.011860281885115296,0.00013329204698199078,0.005,0.0049980555275901135,0.34496672048402466,0.05892017285246343,0.08,0.5,0.07996888844144183,0.022317282893094866,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.08,1.0,,,,,
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.08,2.0,,,,,
1e-12,0.4,3000000000.0,gate,0.9788753507915467,1.386779267460252,2.421133325574142,2.277833770557049,2.675529199819203,8.091627023794967,1.3979699028230916,2.250301179770976,3.760896828315277,0.9977805786690853,0.01769708765329877,0.027696496743547128,0.0006008157850919428,0.01,0.00999940909024836,0.5278597076359737,0.0669321387672693,0.0,0.5,0.0,0.0,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.1123057382415393,1.386779267460252,2.286254537862813,2.061525279129005,2.3591575610728537,6.412973062663689,0.233600772365052,2.1176350899011167,2.8713463725221877,0.9415280113436076,0.014594215978879714,0.024593111423611976,0.0005002416453508193,0.01,0.009998895444732264,0.522732373096556,0.0672747815140221,0.02,0.5,0.019997790889464528,0.03940112706126409,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.0912613381389156,1.386779267460252,2.3252953427989325,2.1863448706281754,2.3776663233601463,4.0531204494990245,0.3737287367998561,2.1536545697502687,2.8604974689525915,0.9711414110121813,0.015156865414206959,0.02515588512373523,0.0005215222539824304,0.01,0.009999019709528267,0.48695891987756074,0.06677928092566426,0.02,1.0,0.019998039419056528,0.14193247470453474,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.1295995741820424,1.386779267460252,75.24433668950527,2.2806605636845254,304.39917551809526,197.7914368113539,1.649779947803495,2.149127688437626,141.66171787480636,0.9817755368783765,0.015265477261096849,0.025179352119554417,0.0012534098069430647,0.01,0.009913874858457567,0.33837717214510216,0.020111191904020775,0.02,2.0,0.019827749716915134,0.4288321164591696,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.2791709769389281,1.386779267460252,2.130515195900858,1.7826619353357698,2.289338457656043,11.715210783326079,0.0,1.9276406597667408,2.466651829922429,0.7284816389091928,0.011817952033763443,0.021816198702808924,0.00041305851224188265,0.01,0.009998246669045481,0.5208536361395052,0.06654724490992249,0.04,0.5,0.03999298667618191,0.064927218736381,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.2122889255367004,1.386779267460252,2.6964634141811037,2.251680913672598,9.410334440508844,130.7798314725987,1.0,2.0664122490599253,2.850188111792498,0.9219624320098145,0.013032535996478679,0.02303066433535962,0.0005404419080454731,0.01,0.009998128338880943,0.3551024923675755,0.06530912195438862,0.04,1.0,0.039992513355523764,0.09828726012500531,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.9822486693429164,1.386779267460252,5.191414753187118,1.9397723286229858,34.58507911166692,309.7697386431473,0.277449338793421,1.5715716900558532,11.762473408534383,0.8466869135045891,0.011648233565456757,0.023880565930042022,0.1291962171644094,0.01,0.012232332364585267,0.4239900848299464,0.03465975659758368,0.04,2.0,0.04892932945834106,0.10518830241611385,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.4936666525193607,1.386779267460252,1.9818096587544847,1.6365558849189388,2.2111812583750954,14.28324285236879,0.001992274529791174,1.723014295554673,2.242761087647879,0.23098502740874335,0.009336690894587487,0.0193341043087871,0.0003401313996441734,0.01,0.009997413414199616,0.5290987308372421,0.06313724158021373,0.06,0.5,0.059984480485197694,0.07490811454296603,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.01,,,,0.06,1.0,,,,,
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.01,,,,0.06,2.0,,,,,
