# 1D hydrostatic white dwarf, ztwd structure, isothermal T
# rho_c=9.8839384950e+08 R=2.4562141156e+08 M_msun=1.3461439553 t_dyn=0.2879669941 T_iso=1.0000000000e+07
# r density temperature
1.4511319663e+08 4.2746350109e+07 1.0000000000e+07
1.4552780576e+08 4.2149980667e+07 1.0000000000e+07
1.4594241489e+08 4.1561024611e+07 1.0000000000e+07
1.4635702403e+08 4.0979397948e+07 1.0000000000e+07
1.4677163316e+08 4.0405017498e+07 1.0000000000e+07
1.4718624229e+08 3.9837800884e+07 1.0000000000e+07
1.4760085143e+08 3.9277666534e+07 1.0000000000e+07
1.4801546056e+08 3.8724533671e+07 1.0000000000e+07
1.4843006969e+08 3.8178322315e+07 1.0000000000e+07
1.4884467883e+08 3.7638953272e+07 1.0000000000e+07
1.4925928796e+08 3.7106348135e+07 1.0000000000e+07
1.4967389709e+08 3.6580429275e+07 1.0000000000e+07
1.5008850623e+08 3.6061119838e+07 1.0000000000e+07
1.5050311536e+08 3.5548343744e+07 1.0000000000e+07
1.5091772449e+08 3.5042025673e+07 1.0000000000e+07
1.5133233363e+08 3.4542091070e+07 1.0000000000e+07
1.5174694276e+08 3.4048466136e+07 1.0000000000e+07
1.5216155189e+08 3.3561077819e+07 1.0000000000e+07
1.5257616103e+08 3.3079853820e+07 1.0000000000e+07
1.5299077016e+08 3.2604722572e+07 1.0000000000e+07
1.5340537929e+08 3.2135613252e+07 1.0000000000e+07
1.5381998843e+08 3.1672455764e+07 1.0000000000e+07
1.5423459756e+08 3.1215180737e+07 1.0000000000e+07
1.5464920669e+08 3.0763719523e+07 1.0000000000e+07
1.5506381583e+08 3.0318004187e+07 1.0000000000e+07
1.5547842496e+08 2.9877967508e+07 1.0000000000e+07
1.5589303409e+08 2.9443542964e+07 1.0000000000e+07
1.5630764323e+08 2.9014664737e+07 1.0000000000e+07
1.5672225236e+08 2.8591267702e+07 1.0000000000e+07
1.5713686149e+08 2.8173287424e+07 1.0000000000e+07
1.5755147062e+08 2.7760660151e+07 1.0000000000e+07
1.5796607976e+08 2.7353322809e+07 1.0000000000e+07
1.5838068889e+08 2.6951212998e+07 1.0000000000e+07
1.5879529802e+08 2.6554268985e+07 1.0000000000e+07
1.5920990716e+08 2.6162429700e+07 1.0000000000e+07
1.5962451629e+08 2.5775634731e+07 1.0000000000e+07
1.6003912542e+08 2.5393824315e+07 1.0000000000e+07
1.6045373456e+08 2.5016939338e+07 1.0000000000e+07
1.6086834369e+08 2.4644921325e+07 1.0000000000e+07
1.6128295282e+08 2.4277712439e+07 1.0000000000e+07
1.6169756196e+08 2.3915255472e+07 1.0000000000e+07
